Site ID,Season,Mussel Species,Plant Species,Sample ID,Material_Ag,Material,Treatment,Flag,CNS Run,CNS Tray,Weight (mg),N2 Area,δ15N At. Air,%N,CO2 Area,δ13C VPDB,%C,SO2 Area,δ34S VCDT,%S,HO Run,HO Tray,weight (mg),H2 Amp,%H,δ2H vs. VSMOW,CO Amp,%O,δ18O vs. VSMOW,Notes
DEER,,,,DC Silver Maple,Riparian Vegetation,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.752,0.0139,2.5001,2.561,0.8359,-29.0733,47.6165,0.0023,-9.6227,0.1976,,"Tray 3, 19, 20",0.41,1784,6.2759,-95.8711,3900,39.8036,21.6425,
DEER,,,,DC Soybean,Riparian Vegetation,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.886,0.0318,-1.2273,5.6461,0.6972,-27.4015,38.3466,0.0035,0.3976,0.2964,,"Tray 3, 19, 20",0.46,2095,6.5771,-115.2937,4173,37.8588,18.918,
DEER,,,,GDC-F01,POM,POM,none,,,Tray 5,66.471,0.0016,6.1374,0.0161,0.0534,-24.5938,0.1986,0.0027,-0.6811,0.0113,,,,,,,,,,
DEER,,,,GDC-F01,POM,POM,acid-fumed,,,Tray 8a,,0.0033,-0.3108,,0.1114,-31.7498,,,,,,,,,,,,,,"CNS: leaky capsule, bad peak shape, no S data"
DEER,,,,GDC-F02,POM,POM,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
DEER,,,,GDC-S01,POM,POM,none,,,Tray 5,65.704,0.0011,7.9342,0.0117,0.0444,-30.1083,0.1504,,,,,,,,,,,,,"CNS: bad peak shape, no S data"
DEER,,,,GDC-S01,POM,POM,acid-fumed,,,Tray 8a,66.693,0.0028,4.9923,0.0232,0.1081,-32.5909,0.2035,0.0047,0.6767,0.0111,,,,,,,,,,
DEER,,,,GDC-S02,POM,POM,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
DEER,Fall,,,LDC-F01,Leaf Litter,Leaf Litter,none,2 CNS reps,,"Tray 18, 10, 11",2.736,0.005,4.6765,1.2387,0.4613,-27.6619,41.6671,0.0019,-2.251,0.1973,,"Tray 3, 19, 20",0.381,1478,6.0667,-62.3506,3509,42.0775,24.4175,
DEER,Fall,,,LDC-F01,Leaf Litter,Leaf Litter,none,2 CNS reps / HO not found,,"Tray 18, 10, 11",3.105,0.0058,5.0205,1.2864,0.5309,-29.7317,42.2528,0.0026,-3.713,0.2296,,,,,,,,,,
DEER,Fall,,,LDC-F01,Leaf Litter,Leaf Litter,acid-fumed,no chemistry,,,,,,,,,,,,,,,,,,,,,,
DEER,Fall,,,SDC-F,Sediment,Sediment,none,,,Tray 17,44.435,0.0049,5.0087,0.0836,0.5875,-8.2381,3.0011,,,,,"Tray 3, 19, 20",0.353,87,0.3342,528.6404,1179,16.1771,23.548,HO: consider rerunning at 1.5-2mg
DEER,Fall,,,SDC-F,Sediment,Sediment,acid-fumed,,,Trays 14 and 16,7.387,0.0039,5.7716,0.0721,0.2607,-7.9776,4.4226,0.0038,-5.0054,0.0764,,,,,,,,,,CNS: Tray 16
DEER,Summer,,,SDC-S,Sediment,Sediment,none,,,Tray 17,49.258,0.001,-0.1056,0.016,0.2055,-4.114,0.9468,,,,,"Tray 3, 19, 20",0.502,147,0.4838,255.0145,696,6.3578,18.4952,HO: consider rerunning at 1.5-2mg
DEER,Summer,,,SDC-S,Sediment,Sediment,acid-fumed,no chemistry,,,,,,,,,,,,,,,,,,,,,,
EELR,,,Ash,ER Ash spp.,Riparian Vegetation,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.131,0.0095,4.5645,2.0993,0.6981,-28.959,47.6551,0.0027,-7.3414,0.2785,,"Tray 3, 19, 20",0.433,1875,6.208,-93.6447,4299,41.7379,21.0847,
